SOC Code,title,ai_applicability_score,Employment 2024 (Thousands),Employment 2034 (Thousands),"Employment Change, 2024-2034 (Thousands)","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode
25-1022,"Mathematical Science Teachers, Postsecondary",0.2964077976,58.9,60.2,1.3,2.3,4.4,"79,350",Doctoral or professional degree,1,None,4,None,
25-1031,"Architecture Teachers, Postsecondary",0.3323462276,11.6,11.9,0.2,2,0.9,"101,480",Doctoral or professional degree,1,None,4,None,
25-1032,"Engineering Teachers, Postsecondary",0.3343752145,50.3,54.4,4.1,8.1,4.1,"106,120",Doctoral or professional degree,1,None,4,None,
25-1041,"Agricultural Sciences Teachers, Postsecondary",0.3307079139,10.7,11.2,0.4,4.1,0.8,"86,350",Doctoral or professional degree,1,None,4,None,
25-1042,"Biological Science Teachers, Postsecondary",0.2957597357,66,70.8,4.8,7.3,5.4,"83,460",Doctoral or professional degree,1,None,4,None,
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",0.3259834457,1.6,1.7,0.1,4,0.1,"100,830",Doctoral or professional degree,1,None,4,None,
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.2970806826,14,14.4,0.4,2.6,1,"101,390",Doctoral or professional degree,1,None,4,None,
25-1052,"Chemistry Teachers, Postsecondary",0.2527025604,25.4,26,0.6,2.2,1.9,"86,220",Doctoral or professional degree,1,None,4,None,
25-1053,"Environmental Science Teachers, Postsecondary",0.3087826676,9,9.3,0.3,2.9,0.7,"87,710",Doctoral or professional degree,1,None,4,None,
25-1054,"Physics Teachers, Postsecondary",0.3097803293,17.1,17.5,0.4,2.5,1.3,"97,360",Doctoral or professional degree,1,None,4,None,
25-1061,"Anthropology and Archeology Teachers, Postsecondary",0.3340482355,6.5,6.7,0.2,2.7,0.5,"95,770",Doctoral or professional degree,1,None,4,None,
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.335512021,14.5,14.8,0.3,2.4,1.1,"84,290",Doctoral or professional degree,1,None,4,None,
25-1063,"Economics Teachers, Postsecondary",0.3532428647,15.8,16.1,0.3,2.1,1.2,"119,980",Doctoral or professional degree,1,None,4,None,
25-1064,"Geography Teachers, Postsecondary",0.3241931644,4,4.2,0.1,3.3,0.3,"86,730",Doctoral or professional degree,1,None,4,None,
25-1065,"Political Science Teachers, Postsecondary",0.3393778052,21.8,22.2,0.4,2,1.6,"94,680",Doctoral or professional degree,1,None,4,None,
25-1066,"Psychology Teachers, Postsecondary",0.3129869585,52.5,54.4,1.9,3.6,4,"80,330",Doctoral or professional degree,1,None,4,None,
25-1067,"Sociology Teachers, Postsecondary",0.330759483,15.4,15.7,0.3,2.1,1.1,"82,540",Doctoral or professional degree,1,None,4,None,
25-1071,"Health Specialties Teachers, Postsecondary",0.3148217475,289.6,339.7,50.1,17.3,27.4,"105,620",Doctoral or professional degree,1,Less than 5 years,2,None,
25-1072,"Nursing Instructors and Teachers, Postsecondary",0.301332752,91.6,106.9,15.3,16.8,8.6,"79,940",Doctoral or professional degree,1,Less than 5 years,2,None,
25-1081,"Education Teachers, Postsecondary",0.3333377191,74.9,76.5,1.6,2.1,5.6,"72,090",Doctoral or professional degree,1,Less than 5 years,2,None,
25-1082,"Library Science Teachers, Postsecondary",0.3452955809,5.1,5.3,0.2,3,0.4,"78,630",Doctoral or professional degree,1,None,4,None,
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.3375950124,16.2,16.5,0.3,2,1.2,"71,470",Doctoral or professional degree,1,None,4,None,
25-1112,"Law Teachers, Postsecondary",0.3308398755,29.5,30.2,0.6,2.2,2.2,"126,650",Doctoral or professional degree,1,Less than 5 years,2,None,
25-1113,"Social Work Teachers, Postsecondary",0.3292135624,17.1,17.5,0.4,2.3,1.3,"76,210",Doctoral or professional degree,1,None,4,None,
25-1121,"Art, Drama, and Music Teachers, Postsecondary",0.3348787667,122.8,124.8,2.1,1.7,9,"80,190",Master's degree,2,None,4,None,
25-1122,"Communications Teachers, Postsecondary",0.3224833108,35.8,36.6,0.8,2.1,2.7,"77,800",Doctoral or professional degree,1,None,4,None,
25-1123,"English Language and Literature Teachers, Postsecondary",0.3333470824,72.2,72.2,0,0,5.1,"78,270",Doctoral or professional degree,1,None,4,None,
25-1124,"Foreign Language and Literature Teachers, Postsecondary",0.3381254157,26.4,26.4,0,-0.2,1.9,"77,010",Doctoral or professional degree,1,None,4,None,
25-1125,"History Teachers, Postsecondary",0.3369553776,24.6,24.6,-0.1,-0.2,1.7,"81,500",Doctoral or professional degree,1,None,4,None,
25-1126,"Philosophy and Religion Teachers, Postsecondary",0.3424024677,27.3,27.5,0.2,0.7,2,"78,050",Doctoral or professional degree,1,None,4,None,
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",0.3218966483,3.2,3.3,0.1,3.4,0.2,"77,280",Doctoral or professional degree,1,None,4,None,
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",0.3221426685,15.4,15.7,0.4,2.4,1.1,"75,890",Doctoral or professional degree,1,None,4,None,
25-1194,"Career/Technical Education Teachers, Postsecondary",0.2074958051,122.2,123,0.8,0.7,8.8,"61,490",Bachelor's degree,3,Less than 5 years,2,None,
25-2011,"Preschool Teachers, Except Special Education",0.1757921976,555.1,578.1,22.9,4.1,65.5,"37,120",Associate's degree,4,None,4,None,
25-2012,"Kindergarten Teachers, Except Special Education",0.2160078195,117.2,115.2,-1.9,-1.6,12.8,"61,430",Bachelor's degree,3,None,4,None,
25-2021,"Elementary School Teachers, Except Special Education",0.2026609273,"1,422.70","1,394.80",-27.9,-2,91,"62,340",Bachelor's degree,3,None,4,None,
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",0.1917352393,633.7,621.3,-12.4,-2,40.5,"62,970",Bachelor's degree,3,None,4,None,
25-2023,"Career/Technical Education Teachers, Middle School",0.1961942309,14,13.8,-0.3,-2,0.9,"63,620",Bachelor's degree,3,Less than 5 years,2,None,
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",0.1925674073,"1,094.50","1,076.70",-17.8,-1.6,66.2,"64,580",Bachelor's degree,3,None,4,None,
25-2032,"Career/Technical Education Teachers, Secondary School",0.1983605334,103.4,101.5,-1.9,-1.8,6.2,"63,910",Bachelor's degree,3,Less than 5 years,2,None,
25-2051,"Special Education Teachers, Preschool",0.1866092184,29.3,29.7,0.4,1.4,2.1,"62,190",Bachelor's degree,3,None,4,None,
25-2052,"Special Education Teachers, Kindergarten and Elementary School",0.1770073822,230.2,226.1,-4.1,-1.8,15.4,"63,000",Bachelor's degree,3,None,4,None,
25-2057,"Special Education Teachers, Middle School",0.1764375793,94.8,93,-1.8,-1.9,6.3,"64,880",Bachelor's degree,3,None,4,None,
25-2058,"Special Education Teachers, Secondary School",0.2103455978,164.2,161.5,-2.6,-1.6,11.1,"69,590",Bachelor's degree,3,None,4,None,
25-2059,"Special Education Teachers, All Other",0.2133319241,41,41.5,0.4,1.1,2.9,"67,430",Bachelor's degree,3,None,4,None,
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.1823564056,40.9,35.3,-5.6,-13.7,3.9,"59,950",Bachelor's degree,3,None,4,None,
25-3021,Self-Enrichment Teachers,0.2302116768,417.5,433,15.5,3.7,51.4,"45,590",High school diploma or equivalent,7,Less than 5 years,2,None,
25-3031,"Substitute Teachers, Short-Term",0.2681170612,510.1,518.5,8.4,1.6,61.1,"38,470",Bachelor's degree,3,None,4,None,
25-3041,Tutors,0.3082847404,215.5,216.8,1.3,0.6,37.1,"40,090","Some college, no degree",6,None,4,None,
25-4011,Archivists,0.3541119644,9.3,9.7,0.4,3.8,1.1,"61,570",Master's degree,2,None,4,None,
25-4012,Curators,0.2480534556,15.1,16.2,1.1,7,1.8,"61,770",Master's degree,2,None,4,None,
25-4013,Museum Technicians and Conservators,0.2056617371,15.7,16.5,0.8,5.4,1.9,"47,460",Bachelor's degree,3,None,4,None,
25-4022,Librarians and Media Collections Specialists,0.2710956183,142.1,144.5,2.4,1.7,13.5,"64,320",Master's degree,2,None,4,None,
25-4031,Library Technicians,0.3242488955,78.6,73.2,-5.4,-6.8,13,"39,970",Postsecondary nondegree award,5,None,4,None,
25-9021,Farm and Home Management Educators,0.4050381117,12.4,12.1,-0.3,-2.5,1.1,"58,120",Master's degree,2,None,4,None,
25-9031,Instructional Coordinators,0.3137530526,232.6,235.5,2.9,1.3,21.9,"74,720",Master's degree,2,5 years or more,1,None,
25-9044,"Teaching Assistants, Postsecondary",0.2654258861,193.6,199.6,6,3.1,24.6,"44,930",Bachelor's degree,3,None,4,None,
25-9045,"Teaching Assistants, Except Postsecondary",0.2047500511,"1,422.80","1,401.70",-21.1,-1.5,170.4,"35,240","Some college, no degree",6,None,4,None,
27-1011,Art Directors,0.2546769558,135,140.7,5.7,4.2,12.3,"111,040",Bachelor's degree,3,5 years or more,1,None,
27-1012,Craft Artists,0.2339538735,11.6,11.9,0.2,2.1,1,"38,480",No formal educational credential,8,None,4,Long-term on-the-job training,
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.2100324514,26.5,26.2,-0.3,-1.2,2.2,"60,560",Bachelor's degree,3,None,4,Long-term on-the-job training,
27-1014,Special Effects Artists and Animators,0.1466053906,57.1,58,0.9,1.6,5,"99,800",Bachelor's degree,3,None,4,None,
27-1021,Commercial and Industrial Designers,0.2158505271,30.6,31.6,1,3.2,2.5,"79,450",Bachelor's degree,3,None,4,None,
27-1022,Fashion Designers,0.2949590071,25.7,26.2,0.5,2,2.3,"80,690",Bachelor's degree,3,None,4,None,
27-1023,Floral Designers,0.1975489038,43.8,41.2,-2.6,-5.9,5.1,"36,120",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
27-1024,Graphic Designers,0.2305931418,265.9,271.5,5.7,2.1,20,"61,300",Bachelor's degree,3,None,4,None,
27-1025,Interior Designers,0.2102882696,87.1,89.9,2.8,3.2,7.8,"63,490",Bachelor's degree,3,None,4,None,
27-1026,Merchandise Displayers and Window Trimmers,0.1707947753,193,199.3,6.2,3.2,20.8,"37,350",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
27-1027,Set and Exhibit Designers,0.2462324654,31.3,32,0.7,2.3,2.5,"66,280",Bachelor's degree,3,None,4,None,
27-2011,Actors,0.154657111,57,57.1,0.2,0.3,6.3,N/A,"Some college, no degree",6,None,4,Long-term on-the-job training,
27-2012,Producers and Directors,0.1745558678,167,175.2,8.3,4.9,12.8,"83,480",Bachelor's degree,3,Less than 5 years,2,None,
27-2021,Athletes and Sports Competitors,0.2217035195,19.1,20.2,1,5.5,2.1,"62,360",No formal educational credential,8,None,4,Long-term on-the-job training,
27-2022,Coaches and Scouts,0.17509436,306.5,326,19.5,6.4,41.8,"45,920",Bachelor's degree,3,None,4,None,
27-2023,"Umpires, Referees, and Other Sports Officials",0.08707104525,19.3,20.4,1.1,5.7,4.6,"38,820",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
27-2031,Dancers,0.09351497001,12.3,12.9,0.6,4.5,1.8,N/A,No formal educational credential,8,None,4,Long-term on-the-job training,
27-2032,Choreographers,0.1620047346,4.6,4.9,0.3,6.1,0.7,"55,600",High school diploma or equivalent,7,5 years or more,1,Long-term on-the-job training,
27-2041,Music Directors and Composers,0.1391251499,47.3,47.2,-0.1,-0.3,4.3,"63,670",Bachelor's degree,3,Less than 5 years,2,None,
27-2042,Musicians and Singers,0.09846102469,169.8,171.6,1.8,1.1,19.4,N/A,No formal educational credential,8,None,4,Long-term on-the-job training,
27-2091,"Disc Jockeys, Except Radio",0.2657707152,15.4,16,0.6,3.8,1.5,N/A,High school diploma or equivalent,7,None,4,Short-term on-the-job training,
27-3011,Broadcast Announcers and Radio Disc Jockeys,0.4139907095,24.1,22.8,-1.3,-5.5,2.3,"45,680",Bachelor's degree,3,None,4,None,
27-3023,"News Analysts, Reporters, and Journalists",0.3891097042,49.3,47.4,-1.9,-3.9,4.1,"60,280",Bachelor's degree,3,None,4,None,
27-3031,Public Relations Specialists,0.3652853004,315.9,331,15,4.8,27.6,"69,780",Bachelor's degree,3,None,4,None,
27-3041,Editors,0.3674755296,115.8,116.5,0.7,0.6,9.8,"75,260",Bachelor's degree,3,Less than 5 years,2,None,
27-3042,Technical Writers,0.3828110101,56.4,56.9,0.5,0.9,4.5,"91,670",Bachelor's degree,3,Less than 5 years,2,Short-term on-the-job training,
27-3043,Writers and Authors,0.4543481791,135.4,140.3,4.9,3.6,13.4,"72,270",Bachelor's degree,3,None,4,Long-term on-the-job training,
27-3091,Interpreters and Translators,0.4921989654,75.3,76.6,1.3,1.7,6.9,"59,440",Bachelor's degree,3,None,4,None,
27-3092,Court Reporters and Simultaneous Captioners,0.2105564712,17.7,17.7,0,-0.3,1.7,"67,310",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,
27-4011,Audio and Video Technicians,0.1842242095,92.3,95.4,3.1,3.3,7.3,"54,830",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,
27-4012,Broadcast Technicians,0.1818270407,24.8,24.2,-0.7,-2.8,1.8,"53,920",Associate's degree,4,None,4,Short-term on-the-job training,
27-4014,Sound Engineering Technicians,0.08782380635,16.9,16.6,-0.3,-1.7,1.2,"66,430",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,
27-4015,Lighting Technicians,0.2071192447,12.1,11.5,-0.6,-4.6,0.8,"60,560",Postsecondary nondegree award,5,None,4,Short-term on-the-job training,
27-4021,Photographers,0.2800991328,151.2,154,2.8,1.8,12.7,"42,520",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
27-4031,"Camera Operators, Television, Video, and Film",0.2380929466,36.4,36.9,0.4,1.2,2.9,"68,810",Bachelor's degree,3,None,4,None,
27-4032,Film and Video Editors,0.1284341872,43.5,45.2,1.7,4,3.6,"70,980",Bachelor's degree,3,None,4,None,
29-1011,Chiropractors,0.1171376271,57.2,62.6,5.4,9.5,2.8,"79,000",Doctoral or professional degree,1,None,4,None,
29-1021,"Dentists, General",0.04855890888,129.8,135.2,5.4,4.1,3.9,"172,790",Doctoral or professional degree,1,None,4,None,
29-1022,Oral and Maxillofacial Surgeons,0.02606188931,6.1,6.4,0.3,4.1,0.2,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1023,Orthodontists,0.183495099,5.9,6.2,0.3,4.4,0.2,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1024,Prosthodontists,0.0218254224,0.9,0.9,0,4.5,0,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1031,Dietitians and Nutritionists,0.2227183614,90.9,95.9,5,5.5,6.2,"73,850",Bachelor's degree,3,None,4,Internship/residency,
29-1041,Optometrists,0.06634255711,47.8,51.6,3.8,8,2.4,"134,830",Doctoral or professional degree,1,None,4,None,
29-1051,Pharmacists,0.282675201,335.1,350.5,15.4,4.6,14.2,"137,480",Doctoral or professional degree,1,None,4,None,
29-1071,Physician Assistants,0.05109176635,162.7,195.8,33.2,20.4,12,"133,260",Master's degree,2,None,4,None,
29-1081,Podiatrists,0.1440694526,9.7,9.9,0.2,1.8,0.3,"152,800",Doctoral or professional degree,1,None,4,Internship/residency,
29-1122,Occupational Therapists,0.1333709828,160,182.1,22.1,13.8,10.2,"98,340",Master's degree,2,None,4,None,
29-1123,Physical Therapists,0.1752458876,267.2,296.4,29.3,10.9,13.2,"101,020",Doctoral or professional degree,1,None,4,None,
29-1124,Radiation Therapists,0.1098467453,19.2,19.6,0.4,1.9,0.9,"101,990",Associate's degree,4,None,4,None,
29-1125,Recreational Therapists,0.07787212478,16.1,16.6,0.5,3.3,1.3,"60,280",Bachelor's degree,3,None,4,None,
29-1126,Respiratory Therapists,0.06657790045,139.6,156.4,16.8,12.1,8.8,"80,450",Associate's degree,4,None,4,None,
29-1127,Speech-Language Pathologists,0.1404395051,187.4,215.5,28.2,15,13.3,"95,410",Master's degree,2,None,4,Internship/residency,
29-1128,Exercise Physiologists,0.1415002532,23.9,26.1,2.3,9.5,1.7,"58,160",Bachelor's degree,3,None,4,None,
29-1129,"Therapists, All Other",0.09914338734,56.1,62.5,6.4,11.5,4.1,"65,010",Bachelor's degree,3,None,4,None,
29-1131,Veterinarians,0.1623091176,86.4,94.7,8.3,9.6,3,"125,510",Doctoral or professional degree,1,None,4,None,
29-1141,Registered Nurses,0.121784888,"3,391.00","3,557.10",166.1,4.9,189.1,"93,600",Bachelor's degree,3,None,4,None,
29-1151,Nurse Anesthetists,0.08120032518,53.8,58.5,4.6,8.6,2.7,"223,210",Master's degree,2,None,4,None,
29-1161,Nurse Midwives,0.1252282719,8.6,9.5,0.9,11.1,0.5,"128,790",Master's degree,2,None,4,None,
29-1171,Nurse Practitioners,0.1473939131,320.4,448.8,128.4,40.1,29.5,"129,210",Master's degree,2,None,4,None,
29-1181,Audiologists,0.1555884203,15.8,17.3,1.5,9.5,0.7,"92,120",Doctoral or professional degree,1,None,4,None,
29-1211,Anesthesiologists,0.03636659578,45.3,46.7,1.4,3.2,1.3,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1212,Cardiologists,0.1378106162,19.4,20.2,0.8,4.1,0.6,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1213,Dermatologists,0.113449798,10.9,11.6,0.7,6.4,0.4,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1214,Emergency Medicine Physicians,0.07664305636,36.1,37.1,1,2.7,1,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1215,Family Medicine Physicians,0.165352739,116,119.1,3.1,2.7,3.3,"238,380",Doctoral or professional degree,1,None,4,Internship/residency,
29-1216,General Internal Medicine Physicians,0.1628626435,73.2,75.6,2.4,3.3,2.1,"236,350",Doctoral or professional degree,1,None,4,Internship/residency,
29-1217,Neurologists,0.1286642337,8.3,8.8,0.5,5.4,0.3,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1218,Obstetricians and Gynecologists,0.1561006784,21.5,21.7,0.3,1.2,0.6,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1221,"Pediatricians, General",0.1449088237,46.4,46.8,0.4,0.8,1.2,"210,130",Doctoral or professional degree,1,None,4,Internship/residency,
29-1222,"Physicians, Pathologists",0.1235263245,12.6,13.1,0.5,4.2,0.4,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1223,Psychiatrists,0.1668002626,27.1,28.8,1.7,6.1,0.9,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1224,Radiologists,0.1415794642,28.2,29,0.8,2.7,0.8,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1229,"Physicians, All Other",0.1137963319,340.7,349.3,8.6,2.5,9.6,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1241,"Ophthalmologists, Except Pediatric",0.08842284509,12.5,13.1,0.5,4.3,0.3,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1242,"Orthopedic Surgeons, Except Pediatric",0.09212819487,14.7,15.3,0.6,4.1,0.4,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1243,Pediatric Surgeons,0.1221342348,1.1,1.1,0,1.5,0,">=239,200",Doctoral or professional degree,1,None,4,Internship/residency,
29-1291,Acupuncturists,0.06274503726,15.3,16.4,1,6.8,0.9,"78,140",Master's degree,2,None,4,None,
29-1292,Dental Hygienists,0.0666600839,221.6,237.2,15.5,7,15.3,"94,260",Associate's degree,4,None,4,None,
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",0.1335644122,41.3,42.2,0.8,2,2.4,"113,730",Master's degree,2,None,4,None,
29-2010,Clinical Laboratory Technologists and Technicians,0.1184574049,351.2,357.2,6,1.7,22.6,"61,890",Bachelor's degree,3,None,4,None,
29-2031,Cardiovascular Technologists and Technicians,0.08901673404,64.7,66.6,1.9,3,3.8,"67,260",Associate's degree,4,None,4,None,
29-2032,Diagnostic Medical Sonographers,0.08496163001,90,101.7,11.7,13,5.8,"89,340",Associate's degree,4,None,4,None,
29-2033,Nuclear Medicine Technologists,0.100875215,20,20.6,0.6,3,0.9,"97,020",Associate's degree,4,None,4,None,
29-2034,Radiologic Technologists and Technicians,0.1095427544,228,237.8,9.8,4.3,12.9,"77,660",Associate's degree,4,None,4,None,
29-2035,Magnetic Resonance Imaging Technologists,0.07890916172,44.1,47.2,3.1,7.1,2.6,"88,180",Associate's degree,4,Less than 5 years,2,None,
29-2036,Medical Dosimetrists,0.1640258451,4.8,4.9,0.2,3.5,0.2,"138,110",Bachelor's degree,3,None,4,None,
29-2042,Emergency Medical Technicians,0.07800200664,181,190.2,9.2,5.1,14.1,"41,340",Postsecondary nondegree award,5,None,4,None,
29-2043,Paramedics,0.07702698085,101.9,107,5.1,5,4.9,"58,410",Postsecondary nondegree award,5,Less than 5 years,2,None,
29-2051,Dietetic Technicians,0.1247503804,30.9,31.7,0.8,2.5,4,"37,040",Associate's degree,4,None,4,None,
29-2052,Pharmacy Technicians,0.213348707,490.4,521.8,31.5,6.4,49,"43,460",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
29-2053,Psychiatric Technicians,0.06230784437,144.5,173.3,28.9,20,15.9,"42,590",Postsecondary nondegree award,5,Less than 5 years,2,Short-term on-the-job training,
29-2055,Surgical Technologists,0.02931406638,115.6,120.8,5.2,4.5,7,"62,830",Postsecondary nondegree award,5,None,4,None,
29-2056,Veterinary Technologists and Technicians,0.07019480513,134.2,146.4,12.2,9.1,14.3,"45,980",Associate's degree,4,None,4,None,
29-2057,Ophthalmic Medical Technicians,0.0123062807,78.8,94.4,15.6,19.8,12.5,"44,080",Postsecondary nondegree award,5,None,4,None,
29-2061,Licensed Practical and Licensed Vocational Nurses,0.04268667172,651.4,668.5,17.1,2.6,54.4,"62,340",Postsecondary nondegree award,5,None,4,None,
29-2072,Medical Records Specialists,0.2706036887,194.8,208.6,13.8,7.1,14.2,"50,250",Postsecondary nondegree award,5,None,4,None,
29-2081,"Opticians, Dispensing",0.1558047906,79.9,82.2,2.3,2.9,6.8,"46,560",High school diploma or equivalent,7,None,4,Long-term on-the-job training,
29-2091,Orthotists and Prosthetists,0.07013714375,10.1,11.5,1.3,13.3,0.9,"78,310",Master's degree,2,None,4,Internship/residency,
29-2092,Hearing Aid Specialists,0.1137345637,10.7,12.6,2,18.4,1,"61,560",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
29-2099,"Health Technologists and Technicians, All Other",0.09964517377,178.8,188.1,9.3,5.2,13.6,"48,790",Postsecondary nondegree award,5,None,4,None,
29-9021,Health Information Technologists and Medical Registrars,0.3068721759,41.9,48.1,6.2,14.7,3.2,"67,310",Associate's degree,4,None,4,None,
29-9091,Athletic Trainers,0.1106822056,33.9,37.6,3.8,11.1,2.4,"60,250",Master's degree,2,None,4,None,
29-9092,Genetic Counselors,0.3112487327,4,4.3,0.4,9.3,0.3,"98,910",Master's degree,2,None,4,None,
29-9093,Surgical Assistants,0.01179870497,25.3,26.6,1.3,5.1,1.6,"60,290",Postsecondary nondegree award,5,None,4,None,
29-9099,"Healthcare Practitioners and Technical Workers, All Other",0.1394692389,41.7,43.1,1.5,3.6,2.6,"64,030",Postsecondary nondegree award,5,None,4,None,
31-1120,Home Health and Personal Care Aides,0.05806293485,"4,347.70","5,087.50",739.8,17,765.8,"34,900",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
31-1131,Nursing Assistants,0.02865845786,"1,441.50","1,474.00",32.6,2.3,204.1,"39,530",Postsecondary nondegree award,5,None,4,None,
31-1132,Orderlies,0,54,55.8,1.8,3.3,7.8,"37,700",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
31-1133,Psychiatric Aides,0.07348480124,38.5,38.3,-0.1,-0.4,5.3,"41,590",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
31-2011,Occupational Therapy Assistants,0.1017629042,49.2,58.7,9.5,19.2,7.2,"68,340",Associate's degree,4,None,4,None,
31-2012,Occupational Therapy Aides,0.0717468299,5.2,5.3,0.1,2.5,0.6,"37,370",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
31-2021,Physical Therapist Assistants,0.07021108518,111.5,136,24.5,22,19.8,"65,510",Associate's degree,4,None,4,None,
31-2022,Physical Therapist Aides,0.05399744258,45.6,46.9,1.3,2.8,6.6,"34,520",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
31-9011,Massage Therapists,0.01189431615,168,193.9,25.9,15.4,24.7,"57,950",Postsecondary nondegree award,5,None,4,None,
31-9091,Dental Assistants,0.05581556126,381.9,406.3,24.4,6.4,52.9,"47,300",Postsecondary nondegree award,5,None,4,None,
31-9092,Medical Assistants,0.06984893751,811,912.2,101.2,12.5,112.3,"44,200",Postsecondary nondegree award,5,None,4,None,
31-9093,Medical Equipment Preparers,0.02104735841,76.5,84.2,7.6,10,10.9,"46,490",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
31-9094,Medical Transcriptionists,0.09491511264,43.9,41.8,-2.2,-4.9,7.4,"37,550",Postsecondary nondegree award,5,None,4,None,
31-9095,Pharmacy Aides,0.1124012129,41.1,41.1,-0.1,-0.1,6.1,"37,000",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,0.03449743654,117.8,128.1,10.3,8.7,22.2,"37,320",High school diploma or equivalent,7,None,4,Short-term on-the-job training,
31-9097,Phlebotomists,0.02872363501,139.7,147.5,7.9,5.6,18.4,"43,660",Postsecondary nondegree award,5,None,4,None,
31-9099,"Healthcare Support Workers, All Other",0.05932807919,109.7,113.5,3.8,3.5,14.4,"46,050",High school diploma or equivalent,7,None,4,None,
33-1011,First-Line Supervisors of Correctional Officers,0.135110097,57.1,55.5,-1.6,-2.8,4.3,"76,310",High school diploma or equivalent,7,Less than 5 years,2,None,
33-1012,First-Line Supervisors of Police and Detectives,0.08529029519,160.8,165.4,4.6,2.9,10.9,"105,980",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,0.01461330168,97.2,100.5,3.4,3.4,6.5,"92,430",Postsecondary nondegree award,5,Less than 5 years,2,Moderate-term on-the-job training,
33-1091,First-Line Supervisors of Security Workers,0.1021713159,71.9,73.8,1.9,2.7,7,"58,610",High school diploma or equivalent,7,Less than 5 years,2,None,
33-2011,Firefighters,0.08733929593,344.9,356.7,11.8,3.4,27.1,"59,530",Postsecondary nondegree award,5,None,4,Long-term on-the-job training,
33-2021,Fire Inspectors and Investigators,0.1128806631,14.7,15.2,0.6,3.8,1.5,"78,060",Postsecondary nondegree award,5,5 years or more,1,Moderate-term on-the-job training,
33-2022,Forest Fire Inspectors and Prevention Specialists,0.06021794128,2.9,3.3,0.4,14.6,0.3,"52,380",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
33-3011,Bailiffs,0.2300215385,19,18.6,-0.4,-2.2,1.8,"57,050",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
33-3012,Correctional Officers and Jailers,0.118317972,387.5,357.4,-30.1,-7.8,30.1,"57,970",High school diploma or equivalent,7,None,4,Moderate-term on-the-job training,
33-3021,Detectives and Criminal Investigators,0.1502778132,117.9,117.1,-0.8,-0.7,7.8,"93,580",High school diploma or equivalent,7,Less than 5 years,2,Moderate-term on-the-job training,
33-3031,Fish and Game Wardens,0.1302057734,7,6.6,-0.4,-6,0.5,"68,180",Bachelor's degree,3,None,4,Moderate-term on-the-job training,
