"Occupation Title","Occupation Code","Employment 2024","Employment 2034","Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average","Median Annual Wage 2024","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Cooks, all other    * Falafel Cart Cook* Fraternity House Cook","=""35-2019""","24.0","25.3","1.3","5.5","3.7","36,210","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Cooks, fast food    * Fast Food Cook* Fast Food Fry Cook* Fryline Attendant","=""35-2011""","669.5","579.2","-90.3","-13.5","82.1","30,160","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Cooks, institution and cafeteria    * Cafeteria Cook* Camp Cook* Galley Cook* Institutional Cook* Mess Cook* School Cook","=""35-2012""","466.1","475.4","9.3","2.0","69.7","36,450","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Cooks, private household    * Certified Personal Chef* Personal Chef* Private Chef","=""35-2013""","34.2","36.0","1.7","5.1","5.3","44,530","Postsecondary nondegree award","5","Less than 5 years","2","None","6"
"Cooks, restaurant    * Banquet Cook* Breakfast Cook* Chef De Partie* Line Cook* Saucier* Specialty Cook","=""35-2014""","1,460.2","1,677.2","217.0","14.9","250.7","36,830","No formal educational credential","8","Less than 5 years","2","Moderate-term on-the-job training","4"
"Cooks, short order    * Griddle Attendant* Griddle Cook* Grill Cook* Short Order Fry Cook* Snack Bar Cook","=""35-2015""","151.1","142.7","-8.4","-5.6","20.6","35,620","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Cooling and freezing equipment operators and tenders    * Ammonia Refrigeration Worker* Chiller Operator* Chiller Tender* Freezer Operator* Refrigerating Machine Operator* Refrigeration Operator","=""51-9193""","7.1","7.6","0.5","7.2","0.8","40,160","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Correctional officers and jailers    * Certified Detention Deputy* Convict Guard* Correction Officer* Correctional Guard* Correctional Sergeant* Detention Deputy* Detention Officer* Jail Guard* Juvenile Corrections Officer* Penal Officer* Prison Guard* Prison Officer","=""33-3012""","387.5","357.4","-30.1","-7.8","30.1","57,970","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Correspondence clerks    * Claims Correspondence Clerk* Correspondence Representative* Correspondence Transcriber* Customer Service Correspondence Clerk* Fan Mail Editor* Medicare Correspondence Representative* Student Loan Correspondent","=""43-4021""","6.9","6.5","-0.4","-5.6","0.7","46,740","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Cost estimators    * Construction Estimator* Construction Job Cost Estimator* Crating and Moving Estimator* Electrical Estimator* Job Estimator* Production Cost Estimator","=""13-1051""","221.4","212.1","-9.3","-4.2","16.9","77,070","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Costume attendants    * Theatrical Wardrobe Attendant* Theatrical Wardrobe Dresser* Wardrobe Assistant* Wardrobe Attendant* Wardrobe Custodian* Wardrobe Dresser* Wardrobe Supervisor","=""39-3092""","6.7","7.1","0.4","5.9","1.8","54,810","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Counselors, all other    * AIDS Counselor* Anger Control Counselor* Grief Counselor* HIV Counselor* Sexual Assault Counselor","=""21-1019""","69.1","77.8","8.7","12.6","7.4","49,830","Master's degree","2","None","4","None","6"
"Counter and rental clerks    * Airplane Charter Clerk* Apartment Rental Clerk* Automobile Rental Clerk* Automotive Service Writer* Bicycle Rental Clerk* Boat Rental Clerk* Car Rental Agent* Dry Cleaning Counter Clerk* Layaway Clerk* Rental Clerk* Storage Facility Rental Clerk* Video Rental Clerk","=""41-2021""","408.2","421.3","13.1","3.2","45.9","38,540","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Couriers and messengers    * Bank Courier* Bicycle Messenger* Courier* Court Messenger* Laboratory Courier* Office Messenger* Office Runner","=""43-5021""","247.2","267.6","20.4","8.2","27.9","38,340","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Court reporters and simultaneous captioners    * Court Recording Monitor* Court Stenographer* Court Transcriber* Deposition Reporter* Realtime Captioner* Stenocaptioner* Voice Writing Reporter","=""27-3092""","17.7","17.7","0.0","-0.3","1.7","67,310","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Court, municipal, and license clerks    * Circuit Court Clerk* City Clerk* Court Clerk* Courtroom Clerk* Deputy Court Clerk* Docket Clerk* Dog Licenser* License Clerk* Motor Vehicle License Clerk* Motor Vehicle Representative* Municipal Clerk* Tax Clerk* Township Clerk* Warrant Clerk","=""43-4031""","180.4","185.9","5.5","3.0","18.5","47,700","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Craft artists    * Hand Potter* Metal Crafts Artist* Quilter","=""27-1012""","11.6","11.9","0.2","2.1","1.0","38,480","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Crane and tower operators    * Boom Crane Operator* Bridge Crane Operator* Cherry Picker Operator* Coal Tower Operator* Electric Crane Operator* Erecting Crane Operator* Monorail Crane Operator* Overhead Crane Operator* Port Crane Operator* Radio Control Crane Operator* Scrap Crane Operator* Tower Loader Operator* Woodyard Crane Operator","=""53-7021""","42.3","43.5","1.3","3.0","3.8","66,370","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Credit analysts    * Chief Credit Analyst* Credit Analyst* Credit Assessment Analyst* Credit Risk Analyst* Factorer","=""13-2041""","67.8","64.8","-3.0","-4.4","3.7","80,970","Bachelor's degree","3","None","4","None","6"
"Credit authorizers, checkers, and clerks    * Charge Authorizer* Commercial Credit Reviewer* Credit Authorizer* Credit Charge Authorizer* Credit Checker* Credit Investigator* Credit Processor* Credit Rating Checker* Credit Reference Clerk* Credit Report Checker","=""43-4041""","12.0","11.3","-0.7","-6.2","1.0","49,130","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Credit counselors    * Credit Counselor* Debt Management Counselor* Student Financial Aid Counselor* Student Loan Counselor","=""13-2071""","31.8","32.9","1.1","3.3","2.2","50,480","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Crematory operators    * Cremation Arranger* Cremator* Crematory Operator","=""39-4012""","3.1","3.2","0.1","3.3","0.6","42,880","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Criminal justice and law enforcement teachers, postsecondary    * Criminal Justice Professor* Criminology Professor* Penology Professor","=""25-1111""","16.2","16.5","0.3","2.0","1.2","71,470","Doctoral or professional degree","1","None","4","None","6"
"Crossing guards and flaggers    * Construction Site Crossing Guard* Crossing Guard* School Crossing Guard* School Traffic Guard","=""33-9091""","91.4","94.7","3.3","3.6","18.0","37,700","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Crushing, grinding, and polishing machine setters, operators, and tenders    * Beveling and Edging Machine Operator* Beveller Operator* Blanchard Grinder Operator* Crusher Plant Operator* Cullet Crusher and Washer* Industrial Coffee Grinder* Marble and Granite Polisher* Mix Crusher Operator* Pulverizer Operator","=""51-9021""","28.7","27.9","-0.7","-2.5","2.7","46,890","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Curators    * Collections Curator* Collections and Archives Director* Educational Institution Curator* Exhibitions and Collections Manager* Herbarium Curator* Museum Curator* Photography and Prints Curator","=""25-4012""","15.1","16.2","1.1","7.0","1.8","61,770","Master's degree","2","None","4","None","6"
"Customer service representatives    * Complaint Clerk* Contact Center Specialist* Customer Complaint Clerk* Customer Contact Specialist* Customer Relations Representative* Customer Support Representative* Gas Distribution and Emergency Clerk* Passenger Relations Representative* Policyholder Information Clerk* Warranty Clerk","=""43-4051""","2,814.0","2,660.3","-153.7","-5.5","341.7","42,830","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Cutters and trimmers, hand    * Fur Trimmer* Hand Cloth Cutter* Hand Fabric Cutter* Portable Machine Cutter","=""51-9031""","7.0","5.7","-1.3","-18.1","0.6","38,800","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Cutting and slicing machine setters, operators, and tenders    * Dog Food Shredder Operator* Glass Cutting Machine Operator* Insulation Cutter* Paper Cutter* Paper Slitter* Rubber Trimmer* Shearing Machine Tender* Trimming Operator","=""51-9032""","49.0","47.9","-1.1","-2.3","5.3","45,700","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic    * Crimping Machine Operator for Metal* Four Slide Machine Setter* Metal Punch Press Operator* Metal Slitter* Metal Stamper","=""51-4031""","174.7","153.6","-21.1","-12.1","14.4","45,590","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Dancers    * Ballerina* Ballet Company Member* Ballet Dancer* Ballet Soloist* Burlesque Dancer* Dance Artist* Discotheque Dancer* Exotic Dancer* Go-Go Dancer* Line Dancer* Soft Shoe Dancer* Tap Dancer","=""27-2031""","12.3","12.9","0.6","4.5","1.8","N/A","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Data entry keyers    * Customs Entry Clerk* Data Entry Clerk* Data Input Clerk* Data Keyer* Data Processing Clerk* Data Typist* Key Punch Operator* Keypunch Operator* Keypuncher","=""43-9021""","141.6","104.9","-36.7","-25.9","9.5","39,850","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Data scientists    * Business Intelligence Developer* Data Analytics Specialist* Data Mining Analyst* Data Visualization Developer","=""15-2051""","245.9","328.3","82.5","33.5","23.4","112,590","Bachelor's degree","3","None","4","None","6"
"Database administrators    * Automatic Data Processing Planner* Database Administration Manager* Database Coordinator* Database Programmer* Database Security Administrator","=""15-1242""","78.0","77.5","-0.5","-0.7","3.8","104,620","Bachelor's degree","3","None","4","None","6"
"Database architects    * Data Architect* Data Integration Specialist* Data Warehousing Specialist* Database Developer","=""15-1243""","66.9","72.7","5.8","8.7","4.0","135,980","Bachelor's degree","3","Less than 5 years","2","None","6"
"Demonstrators and product promoters    * Home Demonstrator* Home Service Demonstrator* Hostess Party Sales Representative* In-Store Demonstrator","=""41-9011""","79.2","79.1","-0.1","-0.1","14.0","37,960","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Dental assistants    * Certified Dental Assistant* Dental Aide* Expanded Functions Dental Assistant* Orthodontic Assistant* Orthodontist Assistant* Registered Dental Assistant* Surgical Dental Assistant","=""31-9091""","381.9","406.3","24.4","6.4","52.9","47,300","Postsecondary nondegree award","5","None","4","None","6"
"Dental hygienists    * Oral Hygienist* RDH* Registered Dental Hygienist","=""29-1292""","221.6","237.2","15.5","7.0","15.3","94,260","Associate's degree","4","None","4","None","6"
"Dental laboratory technicians    * Crown Ceramist* Crown and Bridge Dental Lab Technician* Crown and Bridge Technician* Dental Ceramist* Dental Laboratory Worker* Dental Mold Maker* Dental Technician* Orthodontic Technician","=""51-9081""","35.2","33.6","-1.6","-4.7","3.9","48,310","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Dentists, all other specialists    * Endodontist* Maxillofacial Pathology* Oral Pathologist* Pediatric Dentist* Pedodontist* Periodontist* Public Health Dentist","=""29-1029""","6.6","6.6","0.0","0.3","0.2","225,770","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Dentists, general    * Family Dentist","=""29-1021""","129.8","135.2","5.4","4.1","3.9","172,790","Doctoral or professional degree","1","None","4","None","6"
"Dermatologists    * Dermatopathologist* Procedural Dermatologist","=""29-1213""","10.9","11.6","0.7","6.4","0.4",">=239,200","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Derrick operators, oil and gas    * Derrick Operator* Fracturing Derrick Operator* Gas Derrick Operator* Oil Derrick Operator* Rotary Derrick Operator* Well Service Derrick Worker","=""47-5011""","11.3","11.3","0.1","0.5","1.0","62,740","No formal educational credential","8","Less than 5 years","2","Short-term on-the-job training","5"
"Designers, all other    * Memorial Marker Designer","=""27-1029""","28.6","29.2","0.6","2.0","2.2","66,220","Bachelor's degree","3","None","4","None","6"
"Desktop publishers    * DTP Operator* Desktop Publishing Specialist* Electronic Console Display Operator* Electronic Imager* Electronic Pagination System Operator* Electronic Publisher* Electronic Publishing Specialist","=""43-9031""","5.0","4.4","-0.6","-12.4","0.4","53,620","Associate's degree","4","None","4","Short-term on-the-job training","5"
"Detectives and criminal investigators    * Criminal Investigator* Deputy United States Marshal* FBI Investigator* Homicide Detective* Narcotics Detective* Narcotics Investigator* Police Detective","=""33-3021""","117.9","117.1","-0.8","-0.7","7.8","93,580","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Diagnostic medical sonographers    * Cardiac/Vascular Sonographer* Echocardiogram Technician* Echocardiographer* Echocardiographic Technologist* Echocardiography Technician* Echocardiology Technologist* Registered Diagnostic Medical Sonographer* Sonographer* Ultrasonographer* Ultrasound Technician* Ultrasound Technologist","=""29-2032""","90.0","101.7","11.7","13.0","5.8","89,340","Associate's degree","4","None","4","None","6"
"Dietetic technicians    * Clinical Dietetic Technician* Cook Chill Technician* DTR* Dietary Aide* Dietary Technician* Nutrition Technician* Registered Diet Technician","=""29-2051""","30.9","31.7","0.8","2.5","4.0","37,040","Associate's degree","4","None","4","None","6"
"Dietitians and nutritionists    * Clinical Dietitian* Dietitian* Nutritionist* Pediatric Dietician* Public Health Dietitian* Public Health Nutritionist* Research Dietitian* Sports Nutritionist* Therapeutic Dietitian","=""29-1031""","90.9","95.9","5.0","5.5","6.2","73,850","Bachelor's degree","3","None","4","Internship/residency","1"
"Dining room and cafeteria attendants and bartender helpers    * Banquet Set Up Person* Bar Back* Barback* Buffet Attendant* Bus Person* Busser* Lunchroom Attendant","=""35-9011""","527.4","560.6","33.1","6.3","99.6","32,670","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Directors, religious activities and education    * Campus Ministry Director* Christian Education Minister* Education Minister* Parish Religious Education Director* Religious Activities Director* Religious Education Coordinator* Religious Education Director* Student Ministries Director* Youth Ministry Director","=""21-2021""","138.9","141.8","2.9","2.1","13.8","54,840","Bachelor's degree","3","Less than 5 years","2","None","6"
"Disc jockeys, except radio    * Club DJ* DJ* Deejay","=""27-2091""","15.4","16.0","0.6","3.8","1.5","N/A","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Dishwashers    * Dish Room Worker* Dishwasher* Silverware Cleaner","=""35-9021""","477.7","478.6","0.9","0.2","76.8","33,670","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Dispatchers, except police, fire, and ambulance    * Airplane Dispatch Clerk* Auto Service Dispatcher* Bus Dispatcher* Crew Dispatcher* Maintenance Dispatcher* School Bus Dispatcher* Taxicab Dispatcher* Tow Truck Dispatcher* Train Dispatcher* Truck Dispatcher","=""43-5032""","218.7","216.7","-2.1","-0.9","18.5","48,880","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Door-to-door sales workers, news and street vendors, and related workers    * Newspaper Carrier* Newstand Vendor* Peddler* Souvenir Street Vendor","=""41-9091""","25.3","22.8","-2.5","-10.0","2.7","34,530","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Drafters, all other    * Blueprint Tracer* Drafting Layout Worker* Draughtsman* Geological Drafter* Marine Drafter","=""17-3019""","17.1","15.9","-1.2","-6.9","1.3","62,010","Associate's degree","4","None","4","None","6"
"Dredge operators    * Dredge Deckhand* Dredge Engineer* Dredge Mate* Dredger","=""53-7031""","1.1","1.2","0.0","1.2","0.1","48,430","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic    * Bore Mill Operator for Plastic* Boring Mill Operator for Metal* Drill Press Operator for Metal* Horizontal Boring Mill Operator for Metal* Radial Drill Operator for Plastic* Radial Drill Press Operator for Plastic* Reaming Machine Operator for Plastic","=""51-4032""","5.3","4.3","-1.0","-19.6","0.4","46,630","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Driver/sales workers    * Bobtailer* Delivery Sales worker* Newspaper Deliverer* Newspaper Delivery Driver* Pizza Delivery Driver* Route Sales Person* Route Salesperson* Sales Route Driver","=""53-3031""","451.5","491.3","39.8","8.8","51.3","37,130","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Drywall and ceiling tile installers    * Acoustical Ceiling Installer* Drywall Applicator* Drywall Finisher* Drywall Hanger* Drywall Installer* Drywall Sander* Drywall Stripper* Drywall Worker* Sheet Rock Applier* Sheet Rock Hanger* Sheet Rock Installer* Sheet Rock Worker","=""47-2081""","103.1","107.4","4.3","4.2","7.7","58,140","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Earth drillers, except oil and gas    * Blast Hole Driller* Churn Drill Operator* Churn Driller* Earth Auger Operator* Earth Boring Machine Operator* Hard Rock Drill Operator* Rock Drill Operator","=""47-5023""","18.3","18.8","0.5","2.9","1.7","59,600","High school diploma or equivalent","7","Less than 5 years","2","Long-term on-the-job training","3"
"Economics teachers, postsecondary    * Agricultural Economics Professor* Econometrics Professor* Industrial Economics Professor* Labor Economics Professor* Macroeconomics Professor* Microeconomics Professor","=""25-1063""","15.8","16.1","0.3","2.1","1.2","119,980","Doctoral or professional degree","1","None","4","None","6"
"Economists    * Agricultural Economist* Econometrician* Economic Development Specialist* Economic Research Analyst* Environmental Economist* Industrial Economist* Labor Economist* Price Economist* Social Economist* Tax Economist* Trade Economist","=""19-3011""","17.6","17.8","0.2","1.2","0.9","115,440","Master's degree","2","None","4","None","6"
"Editors    * Advertising Editor* Art Editor* Book Editor* Copy Desk Chief* Copy Editor* Index Editor* Manuscript Editor* Newspaper Photo Editor* Publications Editor* Rewrite Editor* Scientific Publications Editor* Sports Editor* Technical Editor","=""27-3041""","115.8","116.5","0.7","0.6","9.8","75,260","Bachelor's degree","3","Less than 5 years","2","None","6"
"Education administrators, all other","=""11-9039""","60.2","61.7","1.5","2.5","4.1","89,040","Bachelor's degree","3","Less than 5 years","2","None","6"
"Education administrators, kindergarten through secondary    * Elementary School Principal* High School Principal* Junior High School Principal* K-12 School Principal* K-8 School Principal* Middle School Principal* Secondary School Principal","=""11-9032""","333.3","328.1","-5.1","-1.5","20.8","104,070","Master's degree","2","5 years or more","1","None","6"
"Education administrators, postsecondary    * Continuing Education Director* Director of Student Services* Graduate School Dean* Graduate Studies Dean* Provost* University Dean* University Department Chair","=""11-9033""","226.6","230.5","4.0","1.7","15.1","103,960","Master's degree","2","Less than 5 years","2","None","6"
"Education and childcare administrators, preschool and daycare    * Childcare Center Administrator* Childcare Center Director* Early Head Start Director* Head Start Director* Prekindergarten Program Coordinator* Preschool Director","=""11-9031""","90.2","87.9","-2.3","-2.5","5.5","56,270","Bachelor's degree","3","Less than 5 years","2","None","6"
"Education teachers, postsecondary    * Literacy Education Professor* Mathematics Education Professor* Primary Education Professor* Science Education Professor* Secondary Education Professor* Special Education Professor","=""25-1081""","74.9","76.5","1.6","2.1","5.6","72,090","Doctoral or professional degree","1","Less than 5 years","2","None","6"
"Educational instruction and library workers, all other    * Aptitude Test (SAT) Grader* General Educational Development (GED¿) Examiner","=""25-9099""","132.0","134.0","2.0","1.5","12.5","48,400","Bachelor's degree","3","None","4","None","6"
"Educational, guidance, and career counselors and advisors    * Admissions Counselor* Career Counselor* Career Technical Counselor* Education Counselor* Guidance Counselor* International Student Counselor* School Adjustment Counselor* School Guidance Counselor* Student Advisor* Student Development Advisor* Student Services Counselor* Student Success Counselor* Study Abroad Advisor* Vocational Adviser","=""21-1012""","376.3","389.6","13.3","3.5","31.0","65,140","Master's degree","2","None","4","None","6"
"Electric motor, power tool, and related repairers    * AC/DC Rewinder* Armature Rewinder* Battery Repairer* Dynamo Repairer* Electric Motor Fitter* Electric Motor Rewinder* Electrical Parts Reconditioner","=""49-2092""","17.1","17.7","0.6","3.4","1.7","53,990","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Electrical and electronic engineering technologists and technicians    * Electrical Design Technician* Electrical Engineering Technician* Electrical Power Station Technician* Electrical and Electronic Engineering Technologist* Electronic Instrument Testing Technician* Lighting Engineering Technician* Programmable Logic Controller Programmer* Semiconductor Development Technician","=""17-3023""","93.7","94.3","0.6","0.6","8.4","77,180","Associate's degree","4","None","4","None","6"
"Electrical and electronics drafters    * Circuit Board Drafter* Electrical Computer Aided Design and Drafting Technician* Electrical Drafter* Electrical Systems Drafter* Electronic Drafter* Printed Circuit Board Drafter","=""17-3012""","21.6","20.4","-1.2","-5.6","1.7","73,720","Associate's degree","4","None","4","None","6"
"Electrical and electronics installers and repairers, transportation equipment    * Locomotive Electrician* Marine Electronics Repairer* Marine Electronics Technician","=""49-2093""","7.0","7.4","0.4","6.1","0.6","82,730","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3"
"Electrical and electronics repairers, commercial and industrial equipment    * Industrial Aerial Installer* Industrial Robotics Mechanic* Missile Pad Mechanic* Public Address System Mechanic","=""49-2094""","61.1","60.7","-0.5","-0.8","4.7","71,300","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3"
"Electrical and electronics repairers, powerhouse, substation, and relay    * Generating Station Mechanic* Power Transformer Repairer* Powerhouse Electrician* Protective Relay Technician* Relay Technician* Substation Electrician* Substation Mechanic","=""49-2095""","23.4","24.7","1.3","5.5","2.0","100,940","Postsecondary nondegree award","5","Less than 5 years","2","Moderate-term on-the-job training","4"
"Electrical engineers    * Electrical Design Engineer* Electrical Systems Engineer* Illuminating Engineer* Power Distribution Engineer","=""17-2071""","192.0","205.7","13.8","7.2","11.7","111,910","Bachelor's degree","3","None","4","None","6"
"Electrical power-line installers and repairers    * Electric Powerline Examiner* Electric Utility Lineworker* Electrical High Tension Tester* Electrical Lineworker* Power Lineworker* Underground Conduit Installer","=""49-9051""","127.4","135.8","8.4","6.6","10.7","92,560","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers","=""51-2028""","261.4","273.3","11.9","4.6","29.6","44,040","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Electricians    * Chief Electrician* Control Electrician* Electrical Maintenance Worker* Electrical Sign Wirer* House Wirer* Licensed Electrician* Lighting Fixture Installer* Marine Electrician* Master Electrician* Solar Photovoltaic Electrician* Stage Electrician","=""47-2111""","818.7","896.1","77.4","9.5","81.0","62,350","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Electro-mechanical and mechatronics technologists and technicians    * Electo-Mechanical and Mechatronics Technologist* Mechatronics Technician* Remotely Piloted Vehicle Engineering Technician* Robotics Testing Technician* Unmanned Aerial Vehicle Operator* Unmanned Air Systems Operator","=""17-3024""","15.0","15.1","0.2","1.1","1.3","70,760","Associate's degree","4","None","4","None","6"
"Electronic equipment installers and repairers, motor vehicles    * Auto Electrician* Auto Phone Installer* Auto Radio Mechanic* Automotive Electrician* Car Alarm Installer* Car Stereo Installer* GPS Car Navigation Installer* Mobile Electronics Installation Specialist","=""49-2096""","10.3","8.9","-1.4","-13.6","0.6","47,940","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer","=""17-2072""","95.9","101.8","6.0","6.2","5.7","127,590","Bachelor's degree","3","None","4","None","6"
"Elementary school teachers, except special education    * 3rd Grade Reading Teacher* 4th Grade Math Teacher* Elementary School Music Teacher* Elementary School Teacher* Grades 1 Through 5 Teacher","=""25-2021""","1,422.7","1,394.8","-27.9","-2.0","91.0","62,340","Bachelor's degree","3","None","4","None","6"
"Elevator and escalator installers and repairers    * Elevator Adjuster* Elevator Constructor* Elevator Installer* Elevator Mechanic* Elevator Repair and Maintenance Technician* Elevator Service Technician* Escalator Installer* Escalator Mechanic* Escalator Service Mechanic* Freight Elevator Erector* Hydraulic Elevator Constructor","=""47-4021""","24.2","25.4","1.2","5.0","2.0","106,580","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Eligibility interviewers, government programs    * Medicare Interviewer* Public Housing Interviewer* Social Security Benefits Interviewer* Unemployment Benefits Claims Taker* Welfare Interviewer","=""43-4061""","166.8","168.5","1.7","1.0","14.0","51,500","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Embalmers    * Anatomical Embalmer* Arterial Embalmer* Embalmer Apprentice* Licensed Embalmer* Restorative Art Embalmer","=""39-4011""","3.6","3.7","0.0","1.3","0.6","56,280","Associate's degree","4","None","4","Long-term on-the-job training","3"
"Emergency management directors    * Director of Civil Defense* Disaster Response Director* EMS Director* Emergency Management System Director* Emergency Planner* Emergency Planning and Response Manager* Emergency Preparedness Coordinator* Emergency Services Director* Emergency Services Program Coordinator* Public Safety Director","=""11-9161""","13.2","13.6","0.4","3.0","1.0","86,130","Bachelor's degree","3","5 years or more","1","None","6"
"Emergency medical technicians    * EMT* EMT-B* EMT-I/85* EMT-I/99","=""29-2042""","181.0","190.2","9.2","5.1","14.1","41,340","Postsecondary nondegree award","5","None","4","None","6"
"Emergency medicine physicians    * Critical Care Physician* Disaster Medicine Physician* Emergency Medicine Specialist","=""29-1214""","36.1","37.1","1.0","2.7","1.0",">=239,200","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Engine and other machine assemblers    * Aircraft Engine Assembler* Assembling Motor Builder* Clutch Housing Assembler* Engine Builder* Gas Turbine Assembler* Generator Assembler* Jet Engine Assembler* Machine Builder* Sewing Machine Assembler* Steam Turbine Assembler* Truck Transmission Assembler* Truck Transmission Builder","=""51-2031""","38.4","30.3","-8.1","-21.1","2.8","52,540","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Engineering teachers, postsecondary    * Aeronautical Engineering Professor* Ceramic Engineering Professor* Chemical Engineering Professor* Civil Engineering Professor* Electrical Engineering Professor* Electronics Engineering Professor* Industrial Engineering Professor* Manufacturing Engineering Professor* Marine Engineering Professor* Mechanical Engineering Professor* Petroleum Engineering Professor","=""25-1032""","50.3","54.4","4.1","8.1","4.1","106,120","Doctoral or professional degree","1","None","4","None","6"
"Engineering technologists and technicians, except drafters, all other    * Agricultural Engineering Technician* Agricultural Engineering Technologist* Biomedical Engineering Technician* Biomedical Engineering Technologist* Chemical Engineering Technician* Chemical Engineering Technologist* Marine Engineering Technician* Marine Engineering Technologist* Materials Engineering Technician* Materials Engineering Technologist* Metallurgical Engineering Technician* Metallurgical Engineering Technologist* Non-Destructive Testing Specialist* Nuclear Engineering Technician* Nuclear Engineering Technologist* Optical Engineering Technician* Optical Engineering Technologist* Ordnance Engineering Technician* Ordnance Engineering Technologist* Radar Technicians* Salvage Engineering Technician* Salvage Engineering Technologist* Sonar Technicians","=""17-3029""","67.3","68.3","1.0","1.5","5.7","77,390","Associate's degree","4","None","4","None","6"
"Engineers, all other    * Calibration Engineer* Coastal Engineer* Corrosion Control Engineer* Mathematical Engineer* Mechatronics Engineer* Metrologist* Ocean Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer","=""17-2199""","158.8","162.1","3.3","2.1","9.3","117,750","Bachelor's degree","3","None","4","None","6"
"English language and literature teachers, postsecondary    * Children's Literature Professor* Composition Professor* Contemporary English Literature Professor* Creative Writing English Professor* Etymology Professor* Medieval English Literature Professor* Seventeenth-Century English Literature Professor* Victorian Literature Professor","=""25-1123""","72.2","72.2","0.0","0.0","5.1","78,270","Doctoral or professional degree","1","None","4","None","6"
